timestamp,utilization_rate,hour_of_day,day_of_week,month,is_weekend,is_peak_hour,temperature_f,precipitation_mm,weather_condition,traffic_congestion_index,local_event,current_price,gas_price_per_gallon
2025-07-01 00:00:00,0.108,0,1,7,False,False,73.2,0.0,clear,3,none,0.48,4.4
2025-07-01 00:30:00,0.087,0,1,7,False,False,84.1,0.0,cloudy,2,none,0.48,4.03
2025-07-01 01:00:00,0.053,1,1,7,False,False,75.5,0.0,clear,2,none,0.48,4.11
2025-07-01 01:30:00,0.049,1,1,7,False,False,81.5,0.0,clear,2,none,0.48,4.06
2025-07-01 02:00:00,0.025,2,1,7,False,False,87.3,0.0,clear,2,none,0.408,4.33
2025-07-01 02:30:00,0.023,2,1,7,False,False,85.1,0.0,cloudy,2,none,0.408,4.33
2025-07-01 03:00:00,0.022,3,1,7,False,False,86.8,0.0,cloudy,3,none,0.408,4.38
2025-07-01 03:30:00,0.02,3,1,7,False,False,77.3,0.0,partly_cloudy,2,none,0.408,4.39
2025-07-01 04:00:00,0.02,4,1,7,False,False,86.4,0.0,partly_cloudy,2,none,0.408,4.34
2025-07-01 04:30:00,0.02,4,1,7,False,False,73.3,0.0,cloudy,1,none,0.408,4.37
2025-07-01 05:00:00,0.049,5,1,7,False,False,84.7,0.0,clear,1,none,0.408,4.23
2025-07-01 05:30:00,0.058,5,1,7,False,False,88.3,0.0,partly_cloudy,2,none,0.408,4.39
2025-07-01 06:00:00,0.115,6,1,7,False,False,86.0,0.0,clear,5,none,0.48,4.33
2025-07-01 06:30:00,0.108,6,1,7,False,False,77.4,0.0,clear,6,none,0.48,4.3
2025-07-01 07:00:00,0.298,7,1,7,False,True,85.4,0.0,clear,6,none,0.48,4.34
2025-07-01 07:30:00,0.223,7,1,7,False,True,92.6,0.0,clear,8,none,0.48,4.18
2025-07-01 08:00:00,0.301,8,1,7,False,True,79.3,0.0,clear,9,none,0.48,4.28
2025-07-01 08:30:00,0.492,8,1,7,False,True,78.1,0.0,cloudy,10,none,0.48,4.21
2025-07-01 09:00:00,0.611,9,1,7,False,True,74.5,0.0,partly_cloudy,8,none,0.48,4.3
2025-07-01 09:30:00,0.563,9,1,7,False,True,76.6,7.7,light_rain,6,none,0.48,4.06
2025-07-01 10:00:00,0.565,10,1,7,False,False,86.0,0.0,partly_cloudy,6,none,0.48,4.0
2025-07-01 10:30:00,0.502,10,1,7,False,False,74.7,0.0,partly_cloudy,5,none,0.48,4.17
2025-07-01 11:00:00,0.549,11,1,7,False,False,88.6,0.0,clear,3,none,0.48,4.01
2025-07-01 11:30:00,0.856,11,1,7,False,False,85.4,0.0,clear,4,none,0.528,4.24
2025-07-01 12:00:00,0.889,12,1,7,False,False,81.4,0.0,partly_cloudy,3,none,0.528,4.36
2025-07-01 12:30:00,0.581,12,1,7,False,False,74.6,0.0,cloudy,6,none,0.48,4.16
2025-07-01 13:00:00,0.798,13,1,7,False,False,77.2,0.0,clear,3,none,0.48,4.18
2025-07-01 13:30:00,0.657,13,1,7,False,False,79.9,0.0,clear,5,none,0.48,4.11
2025-07-01 14:00:00,0.639,14,1,7,False,False,83.1,0.0,clear,5,none,0.48,4.29
2025-07-01 14:30:00,0.649,14,1,7,False,False,73.8,0.0,clear,5,none,0.48,4.15
2025-07-01 15:00:00,0.535,15,1,7,False,False,78.4,0.0,cloudy,6,none,0.48,4.19
2025-07-01 15:30:00,0.626,15,1,7,False,False,76.6,0.0,clear,3,conference,0.48,4.13
2025-07-01 16:00:00,0.679,16,1,7,False,False,81.7,0.0,partly_cloudy,4,none,0.48,4.19
2025-07-01 16:30:00,0.469,16,1,7,False,False,89.4,0.0,clear,6,none,0.48,4.29
2025-07-01 17:00:00,0.673,17,1,7,False,True,79.6,0.0,partly_cloudy,8,none,0.552,4.07
2025-07-01 17:30:00,0.77,17,1,7,False,True,81.7,0.0,clear,9,none,0.552,4.32
2025-07-01 18:00:00,0.586,18,1,7,False,True,66.7,0.0,partly_cloudy,7,none,0.552,4.22
2025-07-01 18:30:00,0.766,18,1,7,False,True,66.5,0.0,partly_cloudy,8,none,0.552,4.28
2025-07-01 19:00:00,0.6,19,1,7,False,True,89.2,0.0,cloudy,9,none,0.552,4.28
2025-07-01 19:30:00,0.63,19,1,7,False,True,85.7,0.0,cloudy,6,none,0.552,4.11
2025-07-01 20:00:00,0.762,20,1,7,False,True,88.0,0.0,clear,5,none,0.552,4.37
2025-07-01 20:30:00,0.608,20,1,7,False,True,91.3,0.0,clear,4,none,0.552,4.2
2025-07-01 21:00:00,0.497,21,1,7,False,False,80.5,0.0,cloudy,7,none,0.48,4.31
2025-07-01 21:30:00,0.56,21,1,7,False,False,73.3,0.0,clear,5,none,0.48,4.04
2025-07-01 22:00:00,0.283,22,1,7,False,False,77.3,0.0,cloudy,4,none,0.48,4.33
2025-07-01 22:30:00,0.303,22,1,7,False,False,78.2,0.0,partly_cloudy,4,none,0.48,4.15
2025-07-01 23:00:00,0.163,23,1,7,False,False,79.3,4.2,light_rain,3,none,0.48,4.12
2025-07-01 23:30:00,0.214,23,1,7,False,False,87.3,0.0,cloudy,7,none,0.48,4.11
2025-07-02 00:00:00,0.091,0,2,7,False,False,73.0,13.2,heavy_rain,2,none,0.48,4.19
2025-07-02 00:30:00,0.08,0,2,7,False,False,78.5,0.0,cloudy,2,concert,0.48,4.4
2025-07-02 01:00:00,0.062,1,2,7,False,False,74.1,0.0,clear,2,none,0.48,4.05
2025-07-02 01:30:00,0.056,1,2,7,False,False,73.9,0.0,clear,1,none,0.48,4.37
2025-07-02 02:00:00,0.036,2,2,7,False,False,65.9,0.0,clear,3,none,0.408,4.18
2025-07-02 02:30:00,0.034,2,2,7,False,False,92.5,1.0,light_rain,3,none,0.408,4.04
2025-07-02 03:00:00,0.02,3,2,7,False,False,80.9,0.0,cloudy,1,none,0.408,4.29
2025-07-02 03:30:00,0.02,3,2,7,False,False,79.1,0.0,partly_cloudy,3,none,0.408,4.28
2025-07-02 04:00:00,0.024,4,2,7,False,False,73.5,0.0,cloudy,3,none,0.408,4.36
