timestamp,utilization_rate,hour_of_day,day_of_week,month,is_weekend,is_peak_hour,temperature_f,precipitation_mm,weather_condition,traffic_congestion_index,local_event,current_price,gas_price_per_gallon,utilization_lag_1,utilization_lag_2,utilization_lag_24,utilization_rolling_mean_3,utilization_rolling_mean_6
2025-07-02 00:00:00,0.08549999999999999,0,2,7,False,False,75.75,13.2,heavy_rain,2.0,none,0.48,4.295,0.1885,0.293,0.0975,0.18899999999999997,0.39925000000000005
2025-07-02 01:00:00,0.059,1,2,7,False,False,74.0,0.0,clear,1.5,none,0.48,4.21,0.08549999999999999,0.1885,0.051000000000000004,0.11099999999999999,0.3065833333333333
2025-07-02 02:00:00,0.035,2,2,7,False,False,79.2,1.0,clear,3.0,none,0.408,4.109999999999999,0.059,0.08549999999999999,0.024,0.05983333333333333,0.19825
2025-07-02 03:00:00,0.02,3,2,7,False,False,80.0,0.0,cloudy,2.0,none,0.408,4.285,0.035,0.059,0.020999999999999998,0.038,0.11349999999999999
2025-07-02 04:00:00,0.022,4,2,7,False,False,77.9,0.0,cloudy,2.5,none,0.408,4.21,0.02,0.035,0.02,0.025666666666666667,0.06833333333333333
2025-07-02 05:00:00,0.054,5,2,7,False,False,85.1,0.0,clear,2.0,none,0.408,4.215,0.022,0.02,0.053500000000000006,0.032,0.04591666666666666
2025-07-02 06:00:00,0.1,6,2,7,False,False,81.55,0.0,clear,6.5,none,0.48,4.345,0.054,0.022,0.1115,0.058666666666666666,0.04833333333333334
2025-07-02 07:00:00,0.289,7,2,7,False,True,85.95,0.0,partly_cloudy,8.0,none,0.48,4.15,0.1,0.054,0.2605,0.14766666666666664,0.08666666666666667
2025-07-02 08:00:00,0.303,8,2,7,False,True,87.6,0.0,cloudy,8.5,none,0.48,4.27,0.289,0.1,0.39649999999999996,0.23066666666666666,0.13133333333333333
2025-07-02 09:00:00,0.43,9,2,7,False,True,82.45,0.8,partly_cloudy,9.0,none,0.48,4.15,0.303,0.289,0.587,0.3406666666666667,0.19966666666666666
